from,to,length,speed,numLanes
dublin,belfast,1553.0051513114822,10,1
dublin,galway,1852.5595806882973,10,1
antrim,sligo,1507.3781874499844,10,1
antrim,bray,1834.9888283038674,10,1
craigavon,castlebar,1983.001765001736,10,1
craigavon,ennis,2570.4116401852834,10,1
craigavon,antrim,356.00140449161154,10,1
craigavon,athlone,1495.6058972871162,10,1
carlow,wexford,679.1538853603063,10,1
carlow,enniskillen,1963.6588298378108,10,1
cavan,derry,1253.186737880672,10,1
cavan,navan,587.2324922890422,10,1
cavan,wexford,2139.5761262455703,10,1
cavan,limerick,1918.9916623060144,10,1
cavan,portlaoise,1269.0003940109711,10,1
ennis,antrim,2910.966334398253,10,1
ennis,wexford,1865.080427220231,10,1
cork,omagh,3453.7437658286117,10,1
cork,bray,2327.8921796337563,10,1
derry,longford,1585.799798209093,10,1
derry,omagh,520.0009615375725,10,1
derry,athlone,1952.5432133502193,10,1
derry,tralee,3757.8379422215644,10,1
letterkenny,carrick,1244.598328779209,10,1
letterkenny,dublin,2215.5579432729805,10,1
belfast,carlow,2297.295148647644,10,1
belfast,naas,1788.1118533246179,10,1
enniskillen,cavan,489.41189196830925,10,1
enniskillen,letterkenny,751.9421520303274,10,2
enniskillen,antrim,934.285823503707,10,1
galway,carrick,1065.1877768731672,10,1
tralee,carrick,2378.4240580687037,10,2
tralee,dundalk,3104.313289602066,10,1
tralee,galway,1340.4723048239377,10,1
tralee,wexford,2231.260854315335,10,1
naas,derry,2310.3562495857645,10,1
naas,wexford,1068.7455263064262,10,1
naas,galway,1619.5264740040527,10,1
naas,clonmel,1229.4311692811436,10,1
naas,antrim,1879.6704498395457,10,1
naas,letterkenny,2307.855281424726,10,1
kilkenny,tullamore,773.9767438366607,10,1
portlaoise,derry,2521.115824392049,10,1
carrick,wexford,2302.0026064277163,10,1
carrick,enniskillen,582.7538073663698,10,1
carrick,monaghan,804.823583153476,10,1
carrick,craigavon,1176.357513683659,10,1
carrick,roscommon,363.90245945857527,10,1
carrick,cavan,561.1434754142651,10,1
limerick,galway,830.5010535815111,10,1
limerick,castlebar,1554.0740008120592,10,1
limerick,waterford,1188.821685535724,10,1
longford,dundalk,943.7669203781196,10,1
longford,tullamore,636.0078615866316,10,1
longford,belfast,1548.0261625696123,10,1
dundalk,omagh,968.2902457424633,10,1
castlebar,omagh,1597.9127009946444,10,2
castlebar,dundalk,1953.6839560174517,10,1
castlebar,derry,1943.6939059430115,10,1
navan,cavan,587.2324922890422,10,1
navan,clonmel,1738.5862072385137,10,2
navan,kilkenny,1306.7272094817647,10,1
navan,sligo,1426.2275414533265,10,1
monaghan,ennis,2217.0367610844887,10,1
tullamore,cork,1891.0975649077443,10,1
tullamore,letterkenny,2095.2558316348864,10,1
tullamore,belfast,1870.2109506683998,10,1
tullamore,ennis,1225.3411769788854,10,1
tullamore,antrim,1896.341741353599,10,1
roscommon,cork,2237.95375287337,10,1
roscommon,omagh,1267.4071958135632,10,1
roscommon,navan,1040.3004373737426,10,1
sligo,dundalk,1407.2800005684726,10,2
sligo,cork,2956.6293308428094,10,1
sligo,waterford,2684.925511071024,10,1
clonmel,dublin,1528.0111256139467,10,1
clonmel,antrim,3016.693885696724,10,1
clonmel,wexford,846.4195177333755,10,1
omagh,cork,3453.7437658286117,10,1
waterford,portlaoise,929.1393867445294,10,1
waterford,longford,1930.840749518199,10,1
athlone,tullamore,408.96454614061594,10,1
athlone,clonmel,1357.1447969910948,10,1
athlone,carlow,1029.49793588914,10,1
wexford,monaghan,2431.139033457363,10,1
wexford,athlone,1705.4840954989877,10,1
wexford,antrim,2928.535470162518,10,1
bray,antrim,1834.9888283038674,10,1
bray,cork,2327.8921796337563,10,1
bray,cavan,1232.1047033430236,10,1
bray,ennis,2017.964568569032,10,1
